Date,ADA-USD,ATOM-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CRO-USD,DAI-USD,DOGE-USD,DOT-USD,ETC-USD,ETH-USD,FIL-USD,HBAR-USD,ICP-USD,LINK-USD,LTC-USD,MATIC-USD,RUNE-USD,SHIB-USD,SOL-USD,STX4847-USD,TRX-USD,UNI7083-USD,USDC-USD,USDT-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2023-03-01,0.36035600304603577,12.771040916442871,17.761022567749023,134.23985290527344,302.907470703125,23646.55078125,0.0795380026102066,1.0002089738845825,0.08196400105953217,6.534181118011475,21.276655197143555,1663.4337158203125,7.253780841827393,0.0706230029463768,6.1840949058532715,7.52876615524292,97.73766326904297,1.2482359409332275,1.6780660152435303,1.2000000424450263e-05,22.506431579589844,0.9875010251998901,0.0698779970407486,6.842950820922852,1.0001460313796997,1.0001440048217773,0.028119999915361404,0.08810199797153473,152.6681671142578,0.38387900590896606
2023-03-02,0.3502059876918793,12.450935363769531,17.447031021118164,131.7173309326172,299.9461669921875,23475.466796875,0.07678599655628204,0.9995629787445068,0.08051999658346176,6.3269147872924805,21.085731506347656,1647.3193359375,6.887226104736328,0.06900200247764587,5.923757076263428,7.267749786376953,95.25724029541016,1.2247730493545532,1.6337180137634277,1.2000000424450263e-05,21.984878540039062,0.9257500171661377,0.06965100020170212,6.631043910980225,1.0002950429916382,1.0000909566879272,0.02723200060427189,0.0874520018696785,151.0751953125,0.3775799870491028
2023-03-03,0.34273698925971985,11.998372077941895,16.654382705688477,126.12358856201172,290.2828369140625,22362.6796875,0.07290200144052505,0.9998610019683838,0.07677700370550156,6.033932209014893,20.36712074279785,1569.1676025390625,6.254830837249756,0.06396900117397308,5.584551811218262,6.948713779449463,90.5489730834961,1.1677570343017578,1.507040023803711,1.1000000085914508e-05,21.39935302734375,0.8477619886398315,0.06715899705886841,6.267341136932373,1.0,1.000100016593933,0.02539999969303608,0.08561799675226212,144.9054412841797,0.3776710033416748
2023-03-04,0.33649900555610657,11.832651138305664,16.11780548095703,124.41452026367188,289.5038757324219,22353.349609375,0.07296200096607208,0.9999390244483948,0.07455600053071976,5.912603855133057,19.943557739257812,1566.9239501953125,5.914163112640381,0.06454800069332123,5.3824968338012695,6.852447032928467,89.28953552246094,1.1264450550079346,1.4629919528961182,1.1000000085914508e-05,20.966838836669922,0.7320430278778076,0.06668400019407272,6.152784824371338,1.000048041343689,1.0001139640808105,0.024431999772787094,0.08360400050878525,146.69876098632812,0.3738130033016205
2023-03-05,0.3371019959449768,12.025495529174805,16.159337997436523,124.03861236572266,288.69970703125,22435.513671875,0.07355599850416183,0.9998999834060669,0.07479500025510788,5.980068206787109,19.769027709960938,1564.46875,6.141830921173096,0.06403400003910065,5.347765922546387,6.94422721862793,89.9533462524414,1.1374499797821045,1.479773998260498,1.1000000085914508e-05,20.97858428955078,0.749983012676239,0.06725600361824036,6.352076053619385,1.0000100135803223,1.0001070499420166,0.024344999343156815,0.0827530026435852,149.53465270996094,0.3671939969062805
2023-03-06,0.3308210074901581,11.987174034118652,16.52437973022461,124.19681549072266,288.0549621582031,22429.7578125,0.07226499915122986,0.9996219873428345,0.07480499893426895,5.922526836395264,19.65869903564453,1567.398681640625,6.100693225860596,0.06395699828863144,5.325384140014648,6.862199783325195,87.42292022705078,1.1317520141601562,1.4942389726638794,1.1000000085914508e-05,20.635011672973633,0.7455000281333923,0.06740099936723709,6.336324214935303,0.9999529719352722,1.0000109672546387,0.02461099997162819,0.08350799977779388,154.0326690673828,0.3704710006713867
2023-03-07,0.33048298954963684,11.748340606689453,16.169782638549805,122.15843963623047,289.34368896484375,22219.76953125,0.07038100063800812,1.0002449750900269,0.0740479975938797,5.851391792297363,19.215797424316406,1561.93310546875,5.970064163208008,0.06273099780082703,5.334280014038086,6.871420860290527,86.3019027709961,1.149590015411377,1.4646339416503906,1.1000000085914508e-05,20.244731903076172,0.67706698179245,0.06626299768686295,6.423079013824463,1.000080943107605,1.000012993812561,0.023594999685883522,0.08279900252819061,150.31121826171875,0.38054800033569336
2023-03-08,0.3175770044326782,10.96233081817627,15.134352684020996,116.58035278320312,286.86700439453125,21718.080078125,0.06745299696922302,0.9987710118293762,0.07113000005483627,5.595501899719238,18.2446346282959,1534.0882568359375,5.7767839431762695,0.06075400114059448,5.057308197021484,6.584420204162598,82.78353118896484,1.0517879724502563,1.3674839735031128,1.1000000085914508e-05,18.421194076538086,0.6251189708709717,0.06526000052690506,6.108942031860352,0.9998689889907837,1.0000070333480835,0.022092999890446663,0.08178900182247162,143.6486358642578,0.3891879916191101
2023-03-09,0.30967798829078674,11.008208274841309,14.403960227966309,110.16059875488281,277.2961120605469,20363.021484375,0.06294699758291245,0.9998599886894226,0.0659869983792305,5.380725860595703,17.05596351623535,1438.6607666015625,5.493531227111816,0.05750099942088127,4.768817901611328,6.158695220947266,76.73104858398438,1.0153640508651733,1.271291971206665,9.999999747378752e-06,17.308147430419922,0.5752900242805481,0.05845699831843376,5.732314109802246,1.0000079870224,0.9999859929084778,0.02029299922287464,0.07708600163459778,142.57608032226562,0.37213000655174255
2023-03-10,0.3153420090675354,11.15026569366455,14.829690933227539,111.6947250366211,277.4195861816406,20187.244140625,0.06300000101327896,0.9989680051803589,0.06583300232887268,5.554636001586914,17.444175720214844,1429.1580810546875,5.3148651123046875,0.059098001569509506,4.929419994354248,6.225045204162598,71.76221466064453,1.0589040517807007,1.2351269721984863,9.999999747378752e-06,18.243642807006836,0.6043450236320496,0.05741700157523155,5.631404876708984,0.9994789958000183,1.003046989440918,0.020663000643253326,0.07815500348806381,135.30682373046875,0.37062200903892517
